Project ID,Project Name,Project Start Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Program Group,Project Completion Date,Extended Affordability Status,Planned Tax Benefit,subject_to_ll44,Financing Type
44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),2015-06-30T00:00:00.000,928040,432,EAST 162 STREET,Bronx,10451,2023837501,2127429,BX-03,17,141,BX0301,40.824462,-73.912514,40.824056,-73.912113,2019-02-27T00:00:00.000,New Construction,No,Non Prevailing Wage,15.0,46.0,137.0,,,1.0,7.0,79.0,95.0,18.0,,,,,199.0,,199.0,199,Multifamily Finance Program,2019-02-27T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,980874,924,HENDRIX PLACE,Brooklyn,11207,3043750001,3425901,BK-05,42,1106,BK0503,40.658302,-73.882849,40.658546,-73.88344,2017-12-22T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,30.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981192,910,HENDRIX PLACE,Brooklyn,11207,3043750001,3425900,BK-05,42,1106,BK0503,40.65867,-73.88313,40.658546,-73.88344,2017-12-28T00:00:00.000,New Construction,No,Non Prevailing Wage,,,31.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981457,879,VAN SICLEN AVENUE,Brooklyn,11207,3043750001,3413779,BK-05,42,1106,BK0503,40.658484,-73.884143,40.658546,-73.88344,2017-04-26T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,25.0,,,1.0,,12.0,15.0,,,,,,27.0,,27.0,27,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981458,869,VAN SICLEN AVENUE,Brooklyn,11207,3043750001,3413778,BK-05,42,1106,BK0503,40.658652,-73.884265,40.658546,-73.88344,2017-04-26T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,30.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981459,656,STANLEY AVENUE,Brooklyn,11207,3043750001,3413737,BK-05,42,1106,BK0503,40.659132,-73.884397,40.658546,-73.88344,2017-07-19T00:00:00.000,New Construction,No,Non Prevailing Wage,,,31.0,,,,,15.0,16.0,,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981460,271,WORTMAN AVENUE,Brooklyn,11207,3043750001,3413736,BK-05,42,1106,BK0503,40.657778,-73.883084,40.658546,-73.88344,2018-01-23T00:00:00.000,New Construction,No,Non Prevailing Wage,,,89.0,,,,1.0,65.0,23.0,,,,,,89.0,,89.0,89,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,True,HPD Financed
44282,NYCHA FULTON HOUSES,2016-12-28T00:00:00.000,973906,425,WEST 18 STREET,Manhattan,10011,1007167506,1089965,MN-04,3,89,MN0401,40.743962,-74.004735,40.744212,-74.004803,2018-11-20T00:00:00.000,New Construction,No,Non Prevailing Wage,,32.0,48.0,,79.0,1.0,52.0,69.0,39.0,,,,,,160.0,,160.0,160,Multifamily Finance Program,2018-11-20T00:00:00.000,No,Article XI,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,331134,633,MADISON STREET,Brooklyn,11221,3016410068,3425545,BK-03,36,293,BK0302,40.686892,-73.931765,40.687104,-73.931887,2019-09-07T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,,1.0,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927191,22,VAN BUREN STREET,Brooklyn,11221,3017950015,3425853,BK-03,36,263,BK0301,40.689937,-73.944263,40.689699,-73.944393,2019-09-09T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,1.0,,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927618,666,GREENE AVENUE,Brooklyn,11221,3018010008,3418212,BK-03,36,279,BK0302,40.689469,-73.941797,40.689231,-73.942025,2020-02-05T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,,,1.0,,,,1.0,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927624,716,LAFAYETTE AVENUE,Brooklyn,11221,3017910017,3425327,BK-03,36,263,BK0301,40.69067,-73.944382,40.690442,-73.94444,2019-05-13T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927625,718,LAFAYETTE AVENUE,Brooklyn,11221,3017910018,3425328,BK-03,36,263,BK0301,40.690676,-73.944321,40.690448,-73.944375,2019-05-13T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927626,720,LAFAYETTE AVENUE,Brooklyn,11221,3017910019,3425329,BK-03,36,263,BK0301,40.690684,-73.944259,40.690453,-73.944306,2019-05-13T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927981,494,GATES AVENUE,Brooklyn,11216,3018140015,3426344,BK-03,36,265,BK0301,40.686697,-73.946354,40.686494,-73.946167,2019-08-21T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,927982,327,CLIFTON PLACE,Brooklyn,11216,3017890080,3000000,BK-03,36,251,BK0301,40.689254,-73.950333,40.689487,-73.950217,2020-01-04T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,,,,,1.0,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,972362,461,TOMPKINS AVENUE,Brooklyn,11216,3018520009,3425165,BK-03,36,269,BK0301,40.681604,-73.943553,40.681617,-73.943272,2019-08-09T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44285,VAN BUREN/GREENE,2016-06-30T00:00:00.000,972363,463,TOMPKINS AVENUE,Brooklyn,11216,3018520008,3421682,BK-03,36,269,BK0301,40.681538,-73.943539,40.681563,-73.943261,2019-05-20T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,2.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2020-02-05T00:00:00.000,No,UDAAP,True,HPD Financed
44288,DEAN STREET RESIDENCES CONDOMINIUM,2014-06-26T00:00:00.000,946784,203,MOTHER GASTON BOULEVARD,Brooklyn,11233,3014507501,3398696,BK-16,37,36502,BK1601,40.674439,-73.908312,40.674401,-73.907966,2018-06-08T00:00:00.000,New Construction,No,Non Prevailing Wage,,,4.0,,,,,,4.0,,,,,,,4.0,4.0,4,Small Homes Program,2018-06-18T00:00:00.000,No,UDAAP,True,HPD Financed
44288,DEAN STREET RESIDENCES CONDOMINIUM,2014-06-26T00:00:00.000,947359,2390,DEAN STREET,Brooklyn,11233,3014507501,3399040,BK-16,37,36502,BK1601,40.674579,-73.907955,40.674401,-73.907966,2018-06-08T00:00:00.000,New Construction,No,Non Prevailing Wage,,,3.0,,,,,,3.0,,,,,,,3.0,3.0,3,Small Homes Program,2018-06-18T00:00:00.000,No,UDAAP,True,HPD Financed
44288,DEAN STREET RESIDENCES CONDOMINIUM,2014-06-26T00:00:00.000,947360,2394,DEAN STREET,Brooklyn,11233,3014507501,3399039,BK-16,37,36502,BK1601,40.674573,-73.907858,40.674401,-73.907966,2018-06-08T00:00:00.000,New Construction,No,Non Prevailing Wage,,,4.0,,,,,,4.0,,,,,,,4.0,4.0,4,Small Homes Program,2018-06-18T00:00:00.000,No,UDAAP,True,HPD Financed
44288,DEAN STREET RESIDENCES CONDOMINIUM,2014-06-26T00:00:00.000,947361,2398,DEAN STREET,Brooklyn,11233,3014507501,3399038,BK-16,37,36502,BK1601,40.674568,-73.90776,40.674401,-73.907966,2018-06-18T00:00:00.000,New Construction,No,Non Prevailing Wage,,,4.0,,,,,,4.0,,,,,,,4.0,4.0,4,Small Homes Program,2018-06-18T00:00:00.000,No,UDAAP,True,HPD Financed
44295,Van Sinderen Plaza,2016-06-29T00:00:00.000,965149,679,VAN SINDEREN AVENUE,Brooklyn,11207,3038507501,3427011,BK-05,42,1132,BK0503,40.659906,-73.899419,40.659747,-73.899178,2020-06-02T00:00:00.000,New Construction,No,Non Prevailing Wage,11.0,22.0,68.0,,,1.0,,47.0,39.0,16.0,,,,,102.0,,102.0,102,Multifamily Finance Program,2021-09-17T00:00:00.000,No,420c,True,HPD Financed
44295,Van Sinderen Plaza,2016-06-29T00:00:00.000,965150,170,NEW LOTS AVENUE,Brooklyn,11207,,,BK-05,42,1132,BK0503,40.659157,-73.899099,,,2021-09-17T00:00:00.000,New Construction,No,Non Prevailing Wage,7.0,11.0,10.0,,,,,3.0,16.0,9.0,,,,,28.0,,28.0,28,Multifamily Finance Program,2021-09-17T00:00:00.000,No,420c,True,HPD Financed
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,927209,37,MAUJER STREET,Brooklyn,11206,3027850042,3251772,BK-01,34,513,BK0102,40.710342,-73.949819,40.710542,-73.949808,2017-05-18T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,9.0,,,,,3.0,7.0,,,,,,10.0,,10.0,10,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,True,HPD Financed
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955279,37,TEN EYCK STREET,Brooklyn,11206,3027910035,3251778,BK-01,34,513,BK0102,40.709669,-73.949329,40.709889,-73.949203,2017-01-31T00:00:00.000,New Construction,No,Non Prevailing Wage,,,6.0,,,,,6.0,,,,,,,6.0,,6.0,6,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,True,HPD Financed
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955280,33,TEN EYCK STREET,Brooklyn,11206,3027910037,3397100,BK-01,34,513,BK0102,40.709658,-73.949466,40.709864,-73.949473,2017-12-29T00:00:00.000,New Construction,No,Non Prevailing Wage,3.0,1.0,13.0,,,1.0,,9.0,9.0,,,,,,18.0,,18.0,18,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,True,HPD Financed
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955283,356,BEDFORD AVENUE,Brooklyn,11249,3024307501,3397101,BK-01,34,551,BK0102,40.712164,-73.962789,40.712224,-73.963078,2017-11-08T00:00:00.000,New Construction,No,Non Prevailing Wage,5.0,1.0,13.0,,,,,6.0,10.0,3.0,,,,,19.0,,19.0,19,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,True,HPD Financed
44324,Clinton URA Site 7/CHDC,2015-05-04T00:00:00.000,927213,525,WEST 52 STREET,Manhattan,10019,1010817501,1090143,MN-04,3,13501,MN0402,40.766521,-73.992253,40.766837,-73.991971,2019-03-22T00:00:00.000,New Construction,No,Non Prevailing Wage,,,24.0,26.0,52.0,1.0,14.0,37.0,48.0,4.0,,,,,103.0,,103.0,103,Multifamily Finance Program,2019-10-03T00:00:00.000,No,Article XI,True,HPD Financed
44332,HOPKINSON/PARK PLACE,2017-02-10T00:00:00.000,975662,416,THOMAS S BOYLAND STREET,Brooklyn,11233,3014680063,3421942,BK-16,41,363,BK1601,40.67101,-73.914128,40.671076,-73.91455,2021-07-14T00:00:00.000,New Construction,No,Non Prevailing Wage,,,8.0,,,,,2.0,6.0,,,,,,,8.0,8.0,8,Small Homes Program,2021-07-14T00:00:00.000,No,Article XI,True,HPD Financed
44332,HOPKINSON/PARK PLACE,2017-02-10T00:00:00.000,1005272,1900,PARK PLACE,Brooklyn,11233,3014680056,3421943,BK-16,41,363,BK1601,40.671483,-73.914794,40.671301,-73.914589,2021-06-23T00:00:00.000,New Construction,No,Non Prevailing Wage,,,17.0,,,,,5.0,9.0,3.0,,,,,,17.0,17.0,17,Small Homes Program,2021-07-14T00:00:00.000,No,Article XI,True,HPD Financed
44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,2014-08-21T00:00:00.000,955937,1450,PLIMPTON AVENUE,Bronx,10452,2028740027,2129309,BX-04,16,21302,BX0403,40.843998,-73.922008,40.844063,-73.921693,2017-10-27T00:00:00.000,New Construction,No,Prevailing Wage,61.0,,,,,1.0,,61.0,1.0,,,,,,62.0,,62.0,62,Multifamily Finance Program,2017-10-27T00:00:00.000,No,Article XI,True,HPD Financed
44339,BRONX COMMONS,2016-12-28T00:00:00.000,974382,443,EAST 162 STREET,Bronx,10451,2023847501,2129268,BX-03,17,141,BX0301,40.824484,-73.912521,40.824527,-73.911527,2019-12-30T00:00:00.000,New Construction,No,Non Prevailing Wage,46.0,60.0,182.0,16.0,,1.0,35.0,68.0,185.0,17.0,,,,,305.0,,305.0,305,Multifamily Finance Program,2019-12-30T00:00:00.000,No,Article XI,True,HPD Financed
44340,BLAKE/HENDRIX,2018-05-30T00:00:00.000,927586,617,CLEVELAND STREET,Brooklyn,11208,3040650022,3427213,BK-05,42,1164,BK0502,40.669188,-73.883068,40.669289,-73.882833,2021-03-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,2.0,,,1.0,,,1.0,,,,,1.0,1.0,2.0,2,Small Homes Program,2021-10-28T00:00:00.000,No,UDAAP,True,HPD Financed
44340,BLAKE/HENDRIX,2018-05-30T00:00:00.000,927678,291,HINSDALE STREET,Brooklyn,11207,3037670010,3427190,BK-05,42,1134,BK0502,40.667974,-73.89967,40.668012,-73.899396,2021-04-06T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,1.0,,1.0,1.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2021-10-28T00:00:00.000,No,UDAAP,True,HPD Financed
44340,BLAKE/HENDRIX,2018-05-30T00:00:00.000,965968,289,HINSDALE STREET,Brooklyn,11207,3037670011,3252578,BK-05,42,1134,BK0502,40.668009,-73.899681,40.668064,-73.89941,2021-03-08T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,1.0,,1.0,1.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2021-10-28T00:00:00.000,No,UDAAP,True,HPD Financed
44340,BLAKE/HENDRIX,2018-05-30T00:00:00.000,965970,285,HINSDALE STREET,Brooklyn,11207,3037670013,3427192,BK-05,42,1134,BK0502,40.668083,-73.899698,40.668168,-73.899435,2021-10-28T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,3.0,,,1.0,,1.0,1.0,,,,,2.0,1.0,3.0,3,Small Homes Program,2021-10-28T00:00:00.000,No,UDAAP,True,HPD Financed
