projectdwid,projectid,projectname,programname,startdate,projectedcompletiondate,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,commercial_square_footage,borrower_legal_entity_name,general_contractor_name,is_davis_bacon,is_section_220_nys_labor_law
19639,44319,Williamsburg Apartments,Multifamily Finance Program,2014-06-30T00:00:00.000,2017-12-29T00:00:00.000,53,0,53.0,53,9101.0,188 Partners LLC,Yuco Builders LLC,No,No
19254,44324,Clinton URA Site 7/CHDC,Multifamily Finance Program,2015-05-04T00:00:00.000,2019-10-03T00:00:00.000,103,0,103.0,103,23707.0,CLINTON WEST 53RD HOUSING LLC,"Mega Contracting, Inc.",No,No
19358,44332,HOPKINSON/PARK PLACE,Small Homes Program,2017-02-10T00:00:00.000,2021-07-14T00:00:00.000,0,25,25.0,25,0.0,HABITAT LATENT LLC,FG-PH Corporation,No,No
19356,44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,Multifamily Finance Program,2014-08-21T00:00:00.000,2017-10-27T00:00:00.000,62,0,62.0,62,0.0,Artsbridge HDFC,"M. Melnick & Co., Inc.",Yes,No
19417,44339,BRONX COMMONS,Multifamily Finance Program,2016-12-28T00:00:00.000,2019-12-30T00:00:00.000,305,0,305.0,305,23143.0,BRONX COMMONS LLC,BRONX COMMONS BUILDERS LLC,No,No
19215,44340,BLAKE/HENDRIX,Small Homes Program,2018-05-30T00:00:00.000,2021-10-28T00:00:00.000,17,13,30.0,30,0.0,SUN SHELTER LLC,HERITAGE V LLC,No,No
19271,44348,Crossroads Plaza- Rental Low,Multifamily Finance Program,2014-01-28T00:00:00.000,2017-04-12T00:00:00.000,136,0,136.0,136,20907.0,"Crossroads II Development, LLC",New Cassel Construction,No,No
18512,44350,West Tremont,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-07-01T00:00:00.000,0,0,61.0,61,0.0,West Tremont Senior Residences LLC,Galaxy,No,No
19607,44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,Multifamily Finance Program,2014-06-26T00:00:00.000,2017-10-26T00:00:00.000,90,0,90.0,90,2000.0,"280 East Burnside Associates, L.P.",Walison Corp.,No,No
19304,44357,Acacia Gardens,Multifamily Finance Program,2016-04-11T00:00:00.000,2018-08-24T00:00:00.000,179,0,179.0,179,5370.0,ACACIA GARDENS DEVELOPMENT LLC,Lettire Construction,No,No
18605,44362,Park West Apartments,Multifamily Finance Program,2013-06-27T00:00:00.000,2016-02-01T00:00:00.000,0,0,134.0,134,13520.0,2026 Westchester Realty LLC,Procida Construction,No,No
18602,44369,Atlantic Commons Phase 2,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-11-09T00:00:00.000,0,0,44.0,44,0.0,Atlantic Commons Cornerstone LP,MDG Design & Construction,No,No
18877,44388,2264 Morris Avenue,Multifamily Finance Program,2015-12-17T00:00:00.000,2018-12-26T00:00:00.000,94,0,94.0,94,0.0,2264 Morris Avenue Partners LLC,"Notias Construction, Inc.",No,No
18654,44405,BAM CULTURAL DISTRICT NORTH SITE- TOWER I,Multifamily Finance Program,2013-12-20T00:00:00.000,2017-08-15T00:00:00.000,0,0,282.0,586,0.0,BAM Go Developers LLC.,Gotham Construction,No,No
18818,44409,Crotona Terrace II,Multifamily Finance Program,2015-06-25T00:00:00.000,2018-01-12T00:00:00.000,108,0,108.0,108,9270.0,CROTONA TERRACE BUILDING B LLC,Joy Construction Corp.,No,No
19443,44431,WESTCHESTER MEWS,Multifamily Finance Program,2017-06-27T00:00:00.000,2020-10-22T00:00:00.000,206,0,206.0,206,8090.0,WESTCHESTER MEWS LLC,PROCIDA-BUTZ,No,No
19278,44602,CYPRESS. 137 JAMAICA AVENUE,Multifamily Finance Program,2015-10-29T00:00:00.000,2018-01-02T00:00:00.000,54,0,54.0,54,0.0,Cypress Hills Senior Housing Development Fund Corporation,"M. Melnick & Co., Inc.",Yes,No
18565,44865,El Rio Residence_1041 East 179th St.,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-12-30T00:00:00.000,0,0,65.0,65,0.0,El Rio HDFC,Fazio Contracting,Yes,No
18631,44888,CONCERN. 3349 WEBSTER AVE. NORWOOD TERRACE,Multifamily Finance Program,2013-11-21T00:00:00.000,2016-08-11T00:00:00.000,0,0,115.0,115,0.0,3349 Webster Avenue Associates LLC,HLS Builders,No,No
18619,45223,CONFIDENTIAL,Multifamily Finance Program,2013-05-03T00:00:00.000,2016-05-05T00:00:00.000,0,0,0.0,0,0.0,-,"Mega Contracting, Inc.",Yes,No
18664,45265,Randolph  Houses South / Phase one,Multifamily Finance Program,2013-12-23T00:00:00.000,2016-04-19T00:00:00.000,0,0,168.0,168,0.0,Trinity West Harlem Phase One HDFC,"Mega Contracting, Inc.",Yes,No
18609,45280,899 WESTCHESTER AVENUE,Multifamily Finance Program,2013-02-21T00:00:00.000,2016-03-29T00:00:00.000,0,0,141.0,141,0.0,Westchester Point LLC,Joy Construction Corp.,No,No
18613,45301,HRBI Housing  at Washington Houses,Multifamily Finance Program,2013-02-05T00:00:00.000,2015-07-23T00:00:00.000,0,0,89.0,89,0.0,104th Street Housing L.P.,Lasberg Construction Associates,No,No
19473,45303,Prospect Plaza Redevelopment,Multifamily Finance Program,2014-06-30T00:00:00.000,2016-07-11T00:00:00.000,110,0,110.0,110,0.0,"Oceanhill, LLC",BLUE SEA CONSTRUCTION CO LLC,Yes,No
19355,45326,High Hawk,Multifamily Finance Program,2014-06-30T00:00:00.000,2018-01-29T00:00:00.000,73,0,73.0,73,8466.0,"High Hawk Owner, LLC",D.P. Group General Contracting,No,No
18532,45578,272 Manhattan Avenue,Multifamily Finance Program,2013-06-25T00:00:00.000,2015-07-31T00:00:00.000,0,0,57.0,57,0.0,272 Equities LLC,"Artimus Construction, Inc.",No,No
18537,45675,Villa Avenue Residence_100 East 204th Street,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-06-30T00:00:00.000,0,0,57.0,57,0.0,PRI Villa Avenue HDFC,J. Pilla Contracting,Yes,No
18615,45677,226 Linden Blvd,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-12-03T00:00:00.000,0,0,72.0,72,0.0,Ruby's Place Linden HDFC,Fazio Contracting,Yes,No
18608,46076,3556 Webster Avenue,Multifamily Finance Program,2013-01-08T00:00:00.000,2015-12-03T00:00:00.000,0,0,135.0,135,0.0,Webster Building A LLC,Joy Construction Corp.,No,No
19617,46143,West Farms/Longfellow Ave,Multifamily Finance Program,2015-06-25T00:00:00.000,2018-10-15T00:00:00.000,181,0,181.0,181,23380.0,WEST FARMS APARTMENTS LLC,Joy Construction Corp.,No,No
18567,46264,27 Albany,Multifamily Incentives Program,2013-05-16T00:00:00.000,2018-10-23T00:00:00.000,0,0,0.0,50,6002.0,Bedford-Stuyvesant South One LLC,BRP Construction Group LLC,No,No
18596,46299,Utica Place,Multifamily Finance Program,2013-01-23T00:00:00.000,2014-10-24T00:00:00.000,0,0,87.0,87,0.0,Utica Place Residential LLC,Chatsworth Builders LLC,No,No
18442,47767,TBX908 - Dougert,Multifamily Finance Program,2013-01-23T00:00:00.000,2015-12-04T00:00:00.000,0,0,54.0,54,0.0,Dougert Realty Round II LLC,DOUGERT CONSTRUCTION CORP,No,No
18516,47772,400 Convent Avenue HDFC,Multifamily Finance Program,2013-06-27T00:00:00.000,2018-09-28T00:00:00.000,0,0,39.0,39,0.0,400 Convent  Avenue HDFC,"Shamas Contracting Co., Inc.",No,No
18597,47805,Creston,Multifamily Finance Program,2013-05-23T00:00:00.000,2015-05-20T00:00:00.000,0,0,122.0,122,0.0,"WFHA Creston Avenue, L.P.","Notias Construction, Inc.",No,No
18582,47838,Hunterfly,Multifamily Finance Program,2013-04-10T00:00:00.000,2015-05-14T00:00:00.000,0,0,43.0,43,1500.0,Hunterfly Limited Partnership,MDG Design & Construction,No,No
18752,47841,1490 CROTONA PARK EAST,Multifamily Finance Program,2014-06-30T00:00:00.000,2015-04-30T00:00:00.000,39,0,39.0,39,2488.0,1490 Crotona Park East LP,FG-PH Corporation,No,No
18439,47850,539/541 East 147 Street,Multifamily Finance Program,2013-02-27T00:00:00.000,2015-04-14T00:00:00.000,0,0,21.0,21,0.0,"WFHA East 147 Street, L.P.",BUILDERS-R-US CONSTRUCTION CORP,No,No
19247,47858,800 E 173 LLC,Multifamily Finance Program,2014-06-30T00:00:00.000,,0,0,,27,0.0,800 E 173 LLC,GHOTRA AND SONS GENERAL,No,No
18550,47861,992 Willoughby Avenue,Multifamily Finance Program,2013-09-18T00:00:00.000,2015-05-11T00:00:00.000,0,0,8.0,8,0.0,"Gouramety,   Jackson","Nationwide Mechanical, Inc",No,No
18520,47862,1015 SUMMIT AVENUE HDFC,Multifamily Finance Program,2013-06-27T00:00:00.000,2017-05-11T00:00:00.000,0,0,37.0,37,0.0,1015 Summit Ave HDFC,Expo Development Corp.,No,No
18857,47868,211 West 147 Street,Multifamily Finance Program,2016-06-14T00:00:00.000,2018-05-17T00:00:00.000,0,12,12.0,12,0.0,211 WEST 147TH STREET II HOUSING,"Erin Construction and Development Co., Inc",No,No
18759,47878,152 EAST 116TH STREET,Multifamily Finance Program,2017-06-23T00:00:00.000,,0,9,9.0,9,500.0,152 East 116th Street HDFC,"ERIN CONSTRUCTION & DEVELOPMENT CO., INC.",No,No
19051,47888,46-48 East 129 Street,Multifamily Finance Program,2016-06-08T00:00:00.000,2018-04-18T00:00:00.000,0,10,10.0,10,0.0,HCCI 46-48 East 129 Street HDFC,A ALEEM CONSTRUCTION INC,No,No
19112,47948,748 Beck Street,Multifamily Finance Program,2015-08-06T00:00:00.000,2017-07-25T00:00:00.000,0,10,10.0,10,0.0,BECK STREET DEVELOPMENT HOUSING,FG-PH Corporation,No,No
18487,47960,TBX905 - Fordham Bedford,Multifamily Finance Program,2013-06-27T00:00:00.000,2016-02-11T00:00:00.000,0,0,125.0,125,0.0,Creston Heights LLC,Galaxy,No,No
19550,47962,TBX902 - Banana Kelly,Multifamily Finance Program,2014-03-06T00:00:00.000,2015-12-11T00:00:00.000,42,0,42.0,42,0.0,BK Simpson Dawson Limited Partnership,BUILDERS-R-US CONSTRUCTION CORP,Yes,No
19535,48002,Stammtisch,Multifamily Finance Program,2013-12-20T00:00:00.000,2016-06-29T00:00:00.000,0,0,46.0,46,3036.0,"Stammtisch Associates, L.P.",GKC INDUSTRIES INC,No,No
18599,48003,Soundview Family,Multifamily Finance Program,2013-06-28T00:00:00.000,2016-08-09T00:00:00.000,0,0,120.0,120,0.0,Soundview Family Housing LLC,CONGRESS BUILDERS LLC,No,No
19548,48011,TBX602-Bronx Pro,Multifamily Finance Program,2015-06-22T00:00:00.000,2018-09-26T00:00:00.000,60,0,60.0,60,0.0,1641 ANDREWS AVENUE LLC,HOMEBUILDERS I L P,No,No
18649,48012,Soundview Senior,Multifamily Finance Program,2013-12-19T00:00:00.000,2016-10-17T00:00:00.000,0,0,86.0,86,0.0,Soundview Senior Housing LLC,Procida Construction,Yes,No
18632,48013,TBX906-PROMESA,Multifamily Finance Program,2013-11-12T00:00:00.000,2016-12-06T00:00:00.000,0,0,65.0,65,0.0,Crotona Park Residences LLC,GKC INDUSTRIES INC,No,No
19549,48014,TBX901-RSE,Multifamily Finance Program,2016-06-30T00:00:00.000,2019-07-16T00:00:00.000,30,0,30.0,30,3558.0,Jefferson 3531 LLC,"Erin Construction and Development Co., Inc",No,No
18787,48038,165 WEST 80TH STREET,Multifamily Finance Program,2018-12-31T00:00:00.000,,29,0,29.0,29,0.0,165 West 80th Street HDFC,"ERIN CONSTRUCTION & DEVELOPMENT CO., INC.",No,No
18544,48049,WHGA Schomburg Place,Multifamily Finance Program,2013-08-07T00:00:00.000,2016-07-27T00:00:00.000,0,0,60.0,60,0.0,WHGA Schomburg Place Limited Partnership,"SP Contractors of NY, Inc",No,No
19347,48128,"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,2014-06-19T00:00:00.000,2016-12-14T00:00:00.000,100,0,100.0,100,1345.0,133 Equities LLC,Artimus Associates LLC,No,No
19570,48132,The Heights - 150th Street,Multifamily Finance Program,2013-12-19T00:00:00.000,2017-10-31T00:00:00.000,0,0,67.0,67,811.0,Cloth150th Street LP,US Tech Construction Corp,No,No
19616,48143,MMN1802 - CLOTH AMSTERDAM AVENUE,Multifamily Finance Program,2019-10-17T00:00:00.000,,58,0,58.0,58,3285.0,CLOTH AMSTERDAM TPT HOUSING DEVELOPMENT FUND CORPORATION,DP GROUP GENERAL CONTRACTORS,No,No
18523,48254,365 Jay Street,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-07-02T00:00:00.000,0,0,18.0,18,690.0,Jay Street Firehouse LP,MDG Design & Construction,No,No
18566,48579,Alphabet Plaza,Multifamily Incentives Program,2013-06-13T00:00:00.000,2015-02-17T00:00:00.000,0,0,0.0,135,10000.0,Alphabet Plaza LLC,Alphabet Plaza LLC,No,No
19553,48607,TBX910 - Lemle & Wolff,Multifamily Finance Program,2014-06-26T00:00:00.000,2017-01-20T00:00:00.000,138,0,138.0,138,0.0,Plover Apartments LLC,Lemle & Wolff,No,No
19557,48608,TMN904 - PRECISE,Multifamily Finance Program,2017-10-19T00:00:00.000,2021-08-16T00:00:00.000,125,0,125.0,125,0.0,MLG 904 DEVELOPMENT LLC,HOMEBUILDERS I L P,No,No
18645,48621,TBX903 - Highbridge,Multifamily Finance Program,2013-11-06T00:00:00.000,2017-01-20T00:00:00.000,0,0,65.0,65,0.0,West 170th Ogden LP,Nova Builders,No,No
19546,48624,TBK902 - Shinda,Multifamily Finance Program,2014-06-24T00:00:00.000,2016-04-01T00:00:00.000,89,0,89.0,95,2101.0,S-Five Properties LLC,CBCS Construction Corporation,No,No
18508,48625,TBK901 - MHANY,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-11-19T00:00:00.000,0,0,83.0,83,0.0,MHANY 5 Associates LLC,"Notias Construction, Inc.",No,No
18548,48626,TBK410B - BNIA/ELH,Multifamily Finance Program,2013-08-07T00:00:00.000,2017-01-20T00:00:00.000,0,0,26.0,26,0.0,NIA JV LLC,ELH CONSTRUCTION LLC,No,No
18509,48632,Academy Row 2,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-12-10T00:00:00.000,0,0,100.0,100,266.0,"Rivulet Row Associates, L.L.C.",Lemle & Wolff,No,No
18513,48634,Whitestar,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-12-10T00:00:00.000,0,0,51.0,51,0.0,Whitestar Associate LLC,Lemle & Wolff,No,No
19385,48638,LANTERN. 330-332 WEST 51ST ST. STARDOM HALL,Multifamily Finance Program,2014-09-19T00:00:00.000,2017-12-11T00:00:00.000,109,0,109.0,109,0.0,Stardom Hall L.P.,"Apex Building Company, Inc",No,No
18564,48639,Common Ground_1191 Boston Rd,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-12-21T00:00:00.000,0,0,155.0,155,0.0,Boston Road II Housing Development Fund Corporation,Mountco Construction,Yes,No
18542,48640,Boston Road Houses (1351 Boston Road),Multifamily Finance Program,2013-08-12T00:00:00.000,2016-05-02T00:00:00.000,0,0,43.0,43,0.0,1351 Boston Road LP,Lemle & Wolff Construction Corp,Yes,No
18617,48641,304 Echo Place,Multifamily Finance Program,2013-06-28T00:00:00.000,2015-07-02T00:00:00.000,0,0,55.0,55,0.0,PCMH Echo Place HDFC,J. Pilla Contracting,Yes,No
19218,48643,BRIDGE.425 E 161ST ST. MELROSE SITE C SHLP PORTION,Multifamily Finance Program,2016-06-29T00:00:00.000,2018-05-10T00:00:00.000,59,0,59.0,59,0.0,MELROSE COMMONS SUPPORTIVE HOUSING,J. Pilla Contracting,Yes,No
18648,48644,CUCS. 600 East 181st Street. Arthur Ave.,Multifamily Finance Program,2013-12-19T00:00:00.000,2015-12-31T00:00:00.000,0,0,108.0,108,0.0,"Arthur Avenue Residence, L.P.","Mega Contracting, Inc.",Yes,No
19495,48646,SKA MARIN. 1918 FIRST AVE. DRAPER HALL,Multifamily Finance Program,2014-12-24T00:00:00.000,2017-11-28T00:00:00.000,203,0,203.0,203,0.0,Draper Hall Apartments LLC,Procida Construction,Yes,No
19604,48647,WIN.75-121 JUNIUS ST.THE GLENMORE,Multifamily Finance Program,2015-06-26T00:00:00.000,2017-12-07T00:00:00.000,161,0,161.0,161,3158.0,GLENMORE HOUSING ASSOCIATES LLC,CHEEVER DEVELOPMENT CORP,Yes,No
19259,48650,Cooper Square. 222 East 13th St. Ali Forney,Multifamily Finance Program,2015-06-30T00:00:00.000,2018-04-09T00:00:00.000,18,0,18.0,18,708.0,BEA ARTHUR RESIDENCE HOUSING,BUILDERS-R-US CONSTRUCTION CORP,No,No
18518,48657,500 Trinity Avenue,Multifamily Finance Program,2013-06-19T00:00:00.000,2015-04-08T00:00:00.000,0,0,188.0,188,4180.0,500 Trinity LLC,Jeffell Contracting Corp.,No,No
18507,48660,VIP East Tremont Portfolio,Multifamily Finance Program,2013-06-26T00:00:00.000,2015-11-11T00:00:00.000,0,0,114.0,114,3000.0,East Tremont EC LLC,"Erin Construction and Development Co., Inc",No,No
18583,48676,515 New Life,Multifamily Finance Program,2013-06-17T00:00:00.000,2014-05-19T00:00:00.000,0,0,55.0,55,0.0,515 New Life Housing Development Fund Corporation,CASTLESTONE CONSTRUCTION CORP,No,No
18579,48677,COURTLANDT AVENUE (SEBCO),Multifamily Finance Program,2013-06-25T00:00:00.000,2018-01-25T00:00:00.000,0,0,36.0,36,0.0,479 Courtlandt Avenue Housing Development Fund Corp.,"Shamas Contracting Co., Inc.",No,No
18578,48678,Willis Avenue (SEBCO),Multifamily Finance Program,2013-06-25T00:00:00.000,2016-06-29T00:00:00.000,0,0,32.0,32,0.0,Willis Avenue Associates Limited Partnership,"Shamas Contracting Co., Inc.",No,No
19431,48679,NEP Round 1 Mott Haven,Multifamily Finance Program,2014-06-26T00:00:00.000,2021-06-30T00:00:00.000,114,0,114.0,114,0.0,Mott Haven 140 LLC,"Shamas Contracting Co., Inc.",No,No
18561,48681,Stagg Morgan,Multifamily Finance Program,2013-06-26T00:00:00.000,2016-04-20T00:00:00.000,0,0,36.0,36,0.0,Brooklyn Neighborhood HDFC,"Shamas Contracting Co., Inc.",No,No
18499,48683,"San Francisco Houses, Inc.",Multifamily Finance Program,2013-06-25T00:00:00.000,2017-06-27T00:00:00.000,0,0,70.0,70,0.0,San Francisco Associates Limited Partnership,Central Development Corp.,No,No
18563,48685,CCD2,Multifamily Finance Program,2013-06-18T00:00:00.000,2017-01-06T00:00:00.000,0,0,43.0,43,0.0,Bedford Village HDFC,"Shamas Contracting Co., Inc.",No,No
18498,48686,GEFFNER HOUSE,Multifamily Finance Program,2013-06-21T00:00:00.000,2018-06-14T00:00:00.000,0,0,308.0,308,0.0,MRG Partners LP,MDG Design & Construction,No,No
19466,48688,PLAZA BORINQUEN,Multifamily Finance Program,2014-06-06T00:00:00.000,2014-12-31T00:00:00.000,0,0,,84,0.0,Plaza Borinquen 88 Owner II L.P.,"GKC Industries, Inc.",No,No
18576,48690,Parkside Senior Citizens,Multifamily Finance Program,2013-06-25T00:00:00.000,2019-06-18T00:00:00.000,0,0,43.0,43,0.0,Parkside Housing Development Fund Company Inc.,"Shamas Contracting Co., Inc.",No,No
18551,48704,Casa Clinton,Multifamily Finance Program,2013-09-05T00:00:00.000,2016-06-10T00:00:00.000,0,0,87.0,87,0.0,Casa & Clinton HDFC,"Shamas Contracting Co., Inc.",No,No
18593,48726,Hunters Point South: Parcel A,Multifamily Finance Program,2013-02-14T00:00:00.000,2015-07-08T00:00:00.000,0,0,619.0,619,13739.0,HPS 50th Avenue Associates LLC,Monadnock Construction,No,No
19551,48729,TBX907B- Belmont Arthur 2,Multifamily Finance Program,2015-07-16T00:00:00.000,,193,0,193.0,193,727.0,"Arthur Clinton, L.P.","Notias Construction, Inc.",No,No
18559,48730,539 Wales Avenue Bronx,Homeowner Assistance Program,2013-02-12T00:00:00.000,2014-06-23T00:00:00.000,0,0,12.0,12,2000.0,Juve Realty Corp,Padma Contracting Corp,No,No
19552,48731,TBX909-Erickson,Multifamily Finance Program,2014-12-19T00:00:00.000,2018-01-23T00:00:00.000,100,0,100.0,100,0.0,"1770 TPT, LLC",Lemle & Wolff Construction Corp,No,No
19554,48732,TMN601B - MDG,Multifamily Finance Program,2015-06-19T00:00:00.000,2017-05-16T00:00:00.000,26,0,26.0,26,0.0,503 WEST 174TH STREET LLC,MDG Design & Construction,No,No
18482,48733,665 Vanderbilt Avenue,Homeowner Assistance Program,2013-06-20T00:00:00.000,2017-04-13T00:00:00.000,0,0,7.0,7,0.0,Albano Ballerini & Ellen Fishman,Zaman Construction Corp,No,No
18620,48735,TMN902 - Catspaw,Multifamily Finance Program,2013-10-09T00:00:00.000,2017-07-24T00:00:00.000,0,0,34.0,53,800.0,TPT Homes in Harlem LLC,Catspaw Construction,No,No
19028,48742,40 Riverside Boulevard,Multifamily Incentives Program,2014-06-30T00:00:00.000,2016-02-25T00:00:00.000,55,0,55.0,274,7871.0,50 Riverside Blvd LLC,Tishman Construction Company of NY,No,No
18553,48746,277 Pennsylvania Avenue SORP,Homeowner Assistance Program,2013-05-15T00:00:00.000,2014-12-08T00:00:00.000,0,0,16.0,16,0.0,Earl and Shirley Fullerton,Yossi Stern Construction & Real Estate Management Inc.,No,No
18552,48748,266 THROOP AVENUE,Homeowner Assistance Program,2013-05-23T00:00:00.000,,0,0,0.0,6,0.0,266-268 Throop Avenue LLC,ALKO MANAGEMENT CORP.,No,No
18522,48752,500 Southern Boulevard,Multifamily Finance Program,2013-06-27T00:00:00.000,2016-02-29T00:00:00.000,0,0,137.0,137,0.0,Mott Haven Victory HDFC,Expo Development Corp.,No,No
19373,48753,JEROME AVENUE TENANTS HDFC,Multifamily Finance Program,2017-06-28T00:00:00.000,2019-06-27T00:00:00.000,0,85,85.0,85,0.0,JEROME AVENUE TENANTS HDFC,"REAL WINDOWS, LLC",No,No
18501,48754,John Paul II - 202 W 141 St,Multifamily Finance Program,2013-06-27T00:00:00.000,2015-06-11T00:00:00.000,0,0,,69,0.0,"Southwest 141st Street Housing Development Fund Company, Inc.",MDG Design & Construction,Yes,No
18473,48755,Bronxwood Towers,Multifamily Finance Program,2013-06-25T00:00:00.000,2018-06-19T00:00:00.000,0,0,108.0,108,0.0,"The Bronxwood Tower, Inc.",NO GENERAL CONTRACTOR,No,No
18515,48760,1001 Anderson Ave,Multifamily Finance Program,2013-06-26T00:00:00.000,2015-06-04T00:00:00.000,0,0,22.0,22,0.0,1001 Anderson Avenue HDFC,Total NY Construction Corp,No,No
19601,48763,Dorie Miller Apartments - WHGA,Multifamily Finance Program,2015-06-10T00:00:00.000,2019-04-05T00:00:00.000,54,0,54.0,54,2377.0,WHGA Dorie Miller Apartments LLC,R and S Construction Corp.,No,No
18586,48765,360 Preservation LLC,Multifamily Finance Program,2013-06-27T00:00:00.000,2014-08-19T00:00:00.000,0,0,350.0,350,0.0,360 Preservation LLC,L & M Builders,No,No
18505,48766,PRC Shakespeare Avenue,Multifamily Finance Program,2013-06-27T00:00:00.000,,414,0,414.0,414,0.0,PRC Shakespeare Avenue LLC,MELCARA CORPORATION,No,No
19588,48768,URBAN HORIZONS HDFC.YR15.FY18,Multifamily Finance Program,2018-02-06T00:00:00.000,,132,0,132.0,132,0.0,URBAN HORIZONS HOUSING DEVELOPMENT FUND CORPORATION,Avante Contracting Corp.,No,No
18607,48771,Beulah Resyndication (Dunn),Multifamily Finance Program,2013-06-27T00:00:00.000,2016-01-27T00:00:00.000,0,0,293.0,293,0.0,"Dunn Beulah XV, L.P.",MDG Design & Construction,No,No
