Project ID,Project Name,Project Start Date,Building ID,Number,Street,Borough,Postcode,BBL,BIN,Community Board,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Latitude,Longitude,Latitude (Internal),Longitude (Internal),Building Completion Date,Reporting Construction Type,Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Moderate Income Units,Middle Income Units,Other Income Units,Studio Units,1-BR Units,2-BR Units,3-BR Units,4-BR Units,5-BR Units,6-BR+ Units,Unknown-BR Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units,Program Group,Project Completion Date,Extended Affordability Status,Planned Tax Benefit,BIN_str,earliest_dob_date,earliest_dob_date_source,fully_permitted_date,BBL_str,count_nb_bisweb_01_matched,count_new_building_dobnow_i1_matched,earliest_co_date
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,980874,924,HENDRIX PLACE,Brooklyn,11207,3043750001,3425901,BK-05,42,1106,BK0503,40.658302,-73.882849,40.658546,-73.88344,2017-12-22T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,30.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3425901,2008-11-25,pre__filing_date,2015-05-14,3043750001,15,0,2018-08-06 00:00:00
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981192,910,HENDRIX PLACE,Brooklyn,11207,3043750001,3425900,BK-05,42,1106,BK0503,40.65867,-73.88313,40.658546,-73.88344,2017-12-28T00:00:00.000,New Construction,No,Non Prevailing Wage,,,31.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3425900,2008-11-25,pre__filing_date,2015-05-14,3043750001,15,0,2018-08-06 00:00:00
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981457,879,VAN SICLEN AVENUE,Brooklyn,11207,3043750001,3413779,BK-05,42,1106,BK0503,40.658484,-73.884143,40.658546,-73.88344,2017-04-26T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,25.0,,,1.0,,12.0,15.0,,,,,,27.0,,27.0,27,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3413779,2013-08-05,pre__filing_date,2015-10-20,3043750001,15,0,2017-04-26 00:00:00
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981458,869,VAN SICLEN AVENUE,Brooklyn,11207,3043750001,3413778,BK-05,42,1106,BK0503,40.658652,-73.884265,40.658546,-73.88344,2017-04-26T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,30.0,,,,,12.0,15.0,4.0,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3413778,2013-08-05,pre__filing_date,2015-05-14,3043750001,15,0,2017-04-26 00:00:00
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981459,656,STANLEY AVENUE,Brooklyn,11207,3043750001,3413737,BK-05,42,1106,BK0503,40.659132,-73.884397,40.658546,-73.88344,2017-07-19T00:00:00.000,New Construction,No,Non Prevailing Wage,,,31.0,,,,,15.0,16.0,,,,,,31.0,,31.0,31,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3413737,2013-08-05,pre__filing_date,2016-01-14,3043750001,15,0,2017-07-19 00:00:00
44281,STANLEY COMMONS,2014-12-31T00:00:00.000,981460,271,WORTMAN AVENUE,Brooklyn,11207,3043750001,3413736,BK-05,42,1106,BK0503,40.657778,-73.883084,40.658546,-73.88344,2018-01-23T00:00:00.000,New Construction,No,Non Prevailing Wage,,,89.0,,,,1.0,65.0,23.0,,,,,,89.0,,89.0,89,Multifamily Finance Program,2018-01-23T00:00:00.000,No,420c,3413736,2008-11-25,pre__filing_date,2015-05-14,3043750001,15,0,2017-08-29 00:00:00
44282,NYCHA FULTON HOUSES,2016-12-28T00:00:00.000,973906,425,WEST 18 STREET,Manhattan,10011,1007167506,1089965,MN-04,3,89,MN0401,40.743962,-74.004735,40.744212,-74.004803,2018-11-20T00:00:00.000,New Construction,No,Non Prevailing Wage,,32.0,48.0,,79.0,1.0,52.0,69.0,39.0,,,,,,160.0,,160.0,160,Multifamily Finance Program,2018-11-20T00:00:00.000,No,Article XI,1089965,2016-06-16,pre__filing_date,2017-06-20,1007167506,1,0,2018-11-20 00:00:00
44295,Van Sinderen Plaza,2016-06-29T00:00:00.000,965149,679,VAN SINDEREN AVENUE,Brooklyn,11207,3038507501,3427011,BK-05,42,1132,BK0503,40.659906,-73.899419,40.659747,-73.899178,2020-06-02T00:00:00.000,New Construction,No,Non Prevailing Wage,11.0,22.0,68.0,,,1.0,,47.0,39.0,16.0,,,,,102.0,,102.0,102,Multifamily Finance Program,2021-09-17T00:00:00.000,No,420c,3427011,2015-12-31,pre__filing_date,2017-03-08,3038507501,1,0,2021-06-30 09:39:15
44295,Van Sinderen Plaza,2016-06-29T00:00:00.000,965150,170,NEW LOTS AVENUE,Brooklyn,11207,,,BK-05,42,1132,BK0503,40.659157,-73.899099,,,2021-09-17T00:00:00.000,New Construction,No,Non Prevailing Wage,7.0,11.0,10.0,,,,,3.0,16.0,9.0,,,,,28.0,,28.0,28,Multifamily Finance Program,2021-09-17T00:00:00.000,No,420c,nan,2003-12-26,pre__filing_date,2014-08-12,,0,0,
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,927209,37,MAUJER STREET,Brooklyn,11206,3027850042,3251772,BK-01,34,513,BK0102,40.710342,-73.949819,40.710542,-73.949808,2017-05-18T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,9.0,,,,,3.0,7.0,,,,,,10.0,,10.0,10,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,3251772,2011-01-28,pre__filing_date,2015-04-23,3027850042,1,0,2017-05-01 00:00:00
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955279,37,TEN EYCK STREET,Brooklyn,11206,3027910035,3251778,BK-01,34,513,BK0102,40.709669,-73.949329,40.709889,-73.949203,2017-01-31T00:00:00.000,New Construction,No,Non Prevailing Wage,,,6.0,,,,,6.0,,,,,,,6.0,,6.0,6,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,3251778,2011-02-02,pre__filing_date,2015-02-13,3027910035,1,0,2017-01-31 00:00:00
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955280,33,TEN EYCK STREET,Brooklyn,11206,3027910037,3397100,BK-01,34,513,BK0102,40.709658,-73.949466,40.709864,-73.949473,2017-12-29T00:00:00.000,New Construction,No,Non Prevailing Wage,3.0,1.0,13.0,,,1.0,,9.0,9.0,,,,,,18.0,,18.0,18,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,3397100,2011-02-02,pre__filing_date,2015-02-11,3027910037,1,0,2017-12-29 00:00:00
44319,Williamsburg Apartments,2014-06-30T00:00:00.000,955283,356,BEDFORD AVENUE,Brooklyn,11249,3024307501,3397101,BK-01,34,551,BK0102,40.712164,-73.962789,40.712224,-73.963078,2017-11-08T00:00:00.000,New Construction,No,Non Prevailing Wage,5.0,1.0,13.0,,,,,6.0,10.0,3.0,,,,,19.0,,19.0,19,Multifamily Finance Program,2017-12-29T00:00:00.000,No,420c,3397101,2011-02-02,pre__filing_date,2015-02-11,3024307501,1,0,2017-11-08 00:00:00
44324,Clinton URA Site 7/CHDC,2015-05-04T00:00:00.000,927213,525,WEST 52 STREET,Manhattan,10019,1010817501,1090143,MN-04,3,13501,MN0402,40.766521,-73.992253,40.766837,-73.991971,2019-03-22T00:00:00.000,New Construction,No,Non Prevailing Wage,,,24.0,26.0,52.0,1.0,14.0,37.0,48.0,4.0,,,,,103.0,,103.0,103,Multifamily Finance Program,2019-10-03T00:00:00.000,No,Article XI,1090143,2014-05-05,pre__filing_date,2015-07-23,1010817501,1,0,2012-12-19 00:00:00
44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,2014-08-21T00:00:00.000,955937,1450,PLIMPTON AVENUE,Bronx,10452,2028740027,2129309,BX-04,16,21302,BX0403,40.843998,-73.922008,40.844063,-73.921693,2017-10-27T00:00:00.000,New Construction,No,Prevailing Wage,61.0,,,,,1.0,,61.0,1.0,,,,,,62.0,,62.0,62,Multifamily Finance Program,2017-10-27T00:00:00.000,No,Article XI,2129309,2012-04-26,pre__filing_date,2014-08-12,2028740027,1,0,2024-08-14 14:53:33
44339,BRONX COMMONS,2016-12-28T00:00:00.000,974382,443,EAST 162 STREET,Bronx,10451,2023847501,2129268,BX-03,17,141,BX0301,40.824484,-73.912521,40.824527,-73.911527,2019-12-30T00:00:00.000,New Construction,No,Non Prevailing Wage,46.0,60.0,182.0,16.0,,1.0,35.0,68.0,185.0,17.0,,,,,305.0,,305.0,305,Multifamily Finance Program,2019-12-30T00:00:00.000,No,Article XI,2129268,2016-02-26,pre__filing_date,2017-08-17,2023847501,1,0,2019-12-30 00:00:00
44348,Crossroads Plaza- Rental Low,2014-01-28T00:00:00.000,950310,501,SOUTHERN BOULEVARD,Bronx,10455,2025827502,2128607,BX-01,8,31,BX0101,40.811296,-73.9054,40.811707,-73.905338,2017-04-12T00:00:00.000,New Construction,No,Non Prevailing Wage,,28.0,107.0,,,1.0,,7.0,83.0,46.0,,,,,136.0,,136.0,136,Multifamily Finance Program,2017-04-12T00:00:00.000,No,420c,2128607,2013-10-29,pre__filing_date,2014-11-14,2025827502,1,0,
44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,2014-06-26T00:00:00.000,926997,280,EAST BURNSIDE AVENUE,Bronx,10457,2028140073,2129357,BX-05,15,381,BX0502,40.851217,-73.90201,40.850806,-73.902011,2017-10-26T00:00:00.000,New Construction,No,Non Prevailing Wage,12.0,,27.0,,,1.0,9.0,8.0,23.0,,,,,,40.0,,40.0,40,Multifamily Finance Program,2017-10-26T00:00:00.000,No,420c,2129357,2010-09-02,pre__filing_date,2015-07-02,2028140073,1,0,2019-05-07 00:00:00
44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,2014-06-26T00:00:00.000,939117,2247,WALTON AVENUE,Bronx,10453,2031860076,2128908,BX-05,14,239,BX0503,40.857477,-73.90335,40.857515,-73.903613,2017-10-05T00:00:00.000,New Construction,No,Non Prevailing Wage,33.0,,16.0,,,1.0,18.0,19.0,13.0,,,,,,50.0,,50.0,50,Multifamily Finance Program,2017-10-26T00:00:00.000,No,420c,2128908,2012-04-06,pre__filing_date,2015-06-10,2031860076,1,0,2018-01-03 00:00:00
44357,Acacia Gardens,2016-04-11T00:00:00.000,958188,401,EAST 120 STREET,Manhattan,10035,1018087501,1089835,MN-11,8,192,MN1102,40.798511,-73.933326,40.798728,-73.932867,2018-08-24T00:00:00.000,New Construction,No,Non Prevailing Wage,54.0,,106.0,18.0,,1.0,37.0,48.0,92.0,2.0,,,,,179.0,,179.0,179,Multifamily Finance Program,2018-08-24T00:00:00.000,No,420c,1089835,2015-10-13,pre__filing_date,2016-09-01,1018087501,1,0,2018-08-24 00:00:00
44371,Navy Green (Building R2),2014-03-06T00:00:00.000,948016,8,VANDERBILT AVENUE,Brooklyn,11205,3020337502,3398205,BK-02,35,211,BK0203,40.69746,-73.97071,40.697534,-73.970966,2016-03-25T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,67.0,7.0,1.0,,47.0,21.0,7.0,,,,,,75.0,75.0,99,Multifamily Finance Program,2016-03-25T00:00:00.000,No,421a,3398205,2012-06-26,pre__filing_date,2014-01-10,3020337502,1,0,2016-03-25 00:00:00
44388,2264 Morris Avenue,2015-12-17T00:00:00.000,958153,2264,MORRIS AVENUE,Bronx,10453,2031717501,2013863,BX-05,14,23704,BX0503,40.857456,-73.902308,40.857593,-73.901885,2018-12-26T00:00:00.000,New Construction,No,Non Prevailing Wage,31.0,,62.0,,,1.0,31.0,23.0,26.0,14.0,,,,,94.0,,94.0,94,Multifamily Finance Program,2018-12-26T00:00:00.000,No,420c,2013863,2008-10-09,pre__filing_date,2016-05-04,2031717501,2,0,2018-12-26 00:00:00
44409,Crotona Terrace II,2015-06-25T00:00:00.000,927022,1825,BOSTON ROAD,Bronx,10460,2029847503,2124684,BX-03,17,161,BX0303,40.838878,-73.885209,40.839197,-73.88566,2018-01-12T00:00:00.000,New Construction,No,Non Prevailing Wage,11.0,32.0,64.0,,,1.0,10.0,25.0,59.0,14.0,,,,,108.0,,108.0,108,Multifamily Finance Program,2018-01-12T00:00:00.000,No,420c,2124684,2012-10-18,pre__filing_date,2015-06-15,2029847503,2,0,2017-09-29 00:00:00
44431,WESTCHESTER MEWS,2017-06-27T00:00:00.000,965100,2044,WESTCHESTER AVENUE,Bronx,10462,2038057502,2128441,BX-09,18,92,BX0903,40.833705,-73.856301,40.833463,-73.855648,2019-09-30T00:00:00.000,New Construction,No,Non Prevailing Wage,12.0,8.0,62.0,,,,13.0,34.0,20.0,15.0,,,,,82.0,,82.0,82,Multifamily Finance Program,,No,Article XI,2128441,2009-09-01,pre__filing_date,2017-12-08,2038057502,3,0,2019-09-30 00:00:00
44431,WESTCHESTER MEWS,2017-06-27T00:00:00.000,974694,2035,NEWBOLD AVENUE,Bronx,10462,2038057502,2128439,BX-09,18,92,BX0903,40.832722,-73.856202,40.833073,-73.855692,2020-09-25T00:00:00.000,New Construction,No,Non Prevailing Wage,19.0,13.0,91.0,,,1.0,35.0,33.0,37.0,19.0,,,,,124.0,,124.0,124,Multifamily Finance Program,,No,Article XI,2128439,2017-01-20,pre__filing_date,2018-04-25,2038057502,1,0,2020-06-30 00:00:00
44602,CYPRESS. 137 JAMAICA AVENUE,2015-10-29T00:00:00.000,927742,137,JAMAICA AVENUE,Brooklyn,11207,3034870021,3326569,BK-05,37,114201,BK0501,40.679166,-73.895294,40.679734,-73.8953,2018-01-02T00:00:00.000,New Construction,No,Prevailing Wage,53.0,,,,,1.0,,53.0,1.0,,,,,,54.0,,54.0,54,Multifamily Finance Program,2018-01-02T00:00:00.000,No,,3326569,2012-02-23,pre__filing_date,2015-11-10,3034870021,2,0,2014-06-03 00:00:00
45303,Prospect Plaza Redevelopment,2014-06-30T00:00:00.000,949086,1765,PROSPECT PLACE,Brooklyn,11233,3014580140,3425174,BK-16,41,363,BK1601,40.672564,-73.917922,40.672816,-73.917742,2016-07-11T00:00:00.000,New Construction,No,Prevailing Wage,,33.0,44.0,,,1.0,,17.0,54.0,7.0,,,,,78.0,,78.0,78,Multifamily Finance Program,2016-07-11T00:00:00.000,No,420c,3425174,2013-11-18,pre__filing_date,2014-09-29,3014580140,1,0,
45303,Prospect Plaza Redevelopment,2014-06-30T00:00:00.000,972798,1751,PROSPECT PLACE,Brooklyn,11233,3014580052,3425177,BK-16,41,363,BK1601,40.672569,-73.917983,40.672874,-73.918589,2016-05-06T00:00:00.000,New Construction,No,Prevailing Wage,,13.0,19.0,,,,,1.0,31.0,,,,,,32.0,,32.0,32,Multifamily Finance Program,2016-07-11T00:00:00.000,No,420c,3425177,2013-11-12,pre__filing_date,2014-09-29,3014580052,2,0,
45326,High Hawk,2014-06-30T00:00:00.000,934081,1776,BOSTON ROAD,Bronx,10460,2029910005,2119255,BX-03,17,161,BX0303,40.837938,-73.886812,40.83765,-73.886769,2018-01-29T00:00:00.000,New Construction,No,Non Prevailing Wage,,,18.0,54.0,,1.0,1.0,16.0,48.0,8.0,,,,,73.0,,73.0,73,Multifamily Finance Program,2018-01-29T00:00:00.000,No,421a,2119255,2012-04-03,pre__filing_date,2014-11-20,2029910005,1,0,2018-01-03 00:00:00
45647,HARLEN PARK 70 WEST 139TH STREET,2015-06-11T00:00:00.000,972438,70,WEST 139 STREET,Manhattan,10037,1017367502,1090308,MN-10,9,212,MN1002,40.816283,-73.938095,40.816132,-73.938367,2018-10-10T00:00:00.000,New Construction,No,Non Prevailing Wage,,,6.0,,36.0,,,21.0,21.0,,,,,,,42.0,42.0,64,Multifamily Finance Program,2018-10-10T00:00:00.000,No,421a,1090308,2006-08-04,pre__filing_date,2015-09-03,1017367502,1,0,2022-03-03 00:00:00
46143,West Farms/Longfellow Ave,2015-06-25T00:00:00.000,958172,1939,WEST FARMS ROAD,Bronx,10460,2030167502,2124285,BX-06,15,359,BX0601,40.839162,-73.880594,40.839563,-73.880672,2018-10-15T00:00:00.000,New Construction,No,Non Prevailing Wage,10.0,40.0,76.0,26.0,,1.0,2.0,35.0,96.0,20.0,,,,,153.0,,153.0,153,Multifamily Finance Program,2018-10-15T00:00:00.000,No,420c,2124285,2013-07-22,pre__filing_date,2015-08-17,2030167502,1,0,2018-10-15 00:00:00
46143,West Farms/Longfellow Ave,2015-06-25T00:00:00.000,976480,1926,LONGFELLOW AVENUE,Bronx,10460,2030167502,2120278,BX-06,15,359,BX0601,40.839388,-73.881771,40.839418,-73.881432,2018-04-13T00:00:00.000,New Construction,No,Non Prevailing Wage,6.0,8.0,14.0,,,,,14.0,14.0,,,,,,28.0,,28.0,28,Multifamily Finance Program,2018-10-15T00:00:00.000,No,420c,2120278,2013-04-11,pre__filing_date,2015-11-19,2030167502,2,0,2018-04-13 00:00:00
48643,BRIDGE.425 E 161ST ST. MELROSE SITE C SHLP PORTION,2016-06-29T00:00:00.000,972670,425,EAST 161 STREET,Bronx,10451,2023830039,2129267,BX-03,17,141,BX0301,40.82398,-73.9131,40.824073,-73.912695,2018-05-10T00:00:00.000,New Construction,No,Prevailing Wage,58.0,,,,,1.0,59.0,,,,,,,,59.0,,59.0,59,Multifamily Finance Program,2018-05-10T00:00:00.000,No,420c,2129267,2014-09-11,pre__filing_date,2016-08-03,2023830039,1,0,2018-10-24 00:00:00
48647,WIN.75-121 JUNIUS ST.THE GLENMORE,2015-06-26T00:00:00.000,976517,91,JUNIUS STREET,Brooklyn,11212,3036967501,3425596,BK-16,37,908,BK1602,40.672816,-73.903776,40.67272,-73.903484,2017-12-07T00:00:00.000,New Construction,No,Prevailing Wage,96.0,,64.0,,,1.0,12.0,67.0,69.0,13.0,,,,,161.0,,161.0,161,Multifamily Finance Program,2017-12-07T00:00:00.000,No,420c,3425596,2009-05-18,pre__filing_date,2016-01-15,3036967501,2,0,2017-12-07 00:00:00
48775,NORTH BROOKLYN OPPORTUNITIES (NBO),2015-02-26T00:00:00.000,946628,40,SCHOLES STREET,Brooklyn,11206,3030400024,3414017,BK-01,34,511,BK0104,40.70825,-73.948944,40.708049,-73.948807,2016-12-13T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,5.0,,,,,4.0,1.0,1.0,,,,,6.0,,6.0,6,Multifamily Finance Program,2017-12-26T00:00:00.000,No,420c,3414017,2013-05-14,pre__filing_date,2015-07-01,3030400024,1,0,2016-12-13 00:00:00
48775,NORTH BROOKLYN OPPORTUNITIES (NBO),2015-02-26T00:00:00.000,946629,568,GRAHAM AVENUE,Brooklyn,11222,3027000006,3422546,BK-01,33,499,BK0101,40.722437,-73.947346,40.72247,-73.94714,2017-03-30T00:00:00.000,New Construction,No,Non Prevailing Wage,,,4.0,,,,,,2.0,2.0,,,,,4.0,,4.0,4,Multifamily Finance Program,2017-12-26T00:00:00.000,No,420c,3422546,2008-06-18,pre__filing_date,2015-09-25,3027000006,2,0,2017-03-30 00:00:00
48775,NORTH BROOKLYN OPPORTUNITIES (NBO),2015-02-26T00:00:00.000,946631,7,STAGG STREET,Brooklyn,11206,3030220101,3400412,BK-01,34,511,BK0104,40.708862,-73.950228,40.70895,-73.950387,2016-09-13T00:00:00.000,New Construction,No,Non Prevailing Wage,,,4.0,,,,,4.0,,,,,,,4.0,,4.0,4,Multifamily Finance Program,2017-12-26T00:00:00.000,No,420c,3400412,2008-05-08,pre__filing_date,2015-06-08,3030220101,2,0,2016-09-13 00:00:00
48775,NORTH BROOKLYN OPPORTUNITIES (NBO),2015-02-26T00:00:00.000,946632,198,MONTROSE AVENUE,Brooklyn,11206,3030630101,3426094,BK-01,34,49302,BK0104,40.707511,-73.941266,40.707269,-73.941327,2017-12-26T00:00:00.000,New Construction,No,Non Prevailing Wage,,1.0,3.0,,,,,,3.0,1.0,,,,,4.0,,4.0,4,Multifamily Finance Program,2017-12-26T00:00:00.000,No,420c,3426094,2008-05-08,pre__filing_date,2017-03-16,3030630101,1,0,
48906,CAMBA GARDENS 2. 560 WINTHROP,2014-06-26T00:00:00.000,948178,560,WINTHROP STREET,Brooklyn,11203,3048290005,3424559,BK-09,40,808,BK0902,40.657646,-73.941519,40.657245,-73.940903,2016-11-30T00:00:00.000,New Construction,No,Prevailing Wage,182.0,,110.0,,,1.0,175.0,28.0,62.0,28.0,,,,,293.0,,293.0,293,Multifamily Finance Program,2016-11-30T00:00:00.000,No,420c,3424559,2014-02-26,pre__filing_date,2015-05-22,3048290005,1,0,2016-11-30 00:00:00
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,2019-12-18T00:00:00.000,972405,204,AVENUE A,Manhattan,10009,1004060006,1000000,MN-03,2,34,MN0303,40.729512,-73.981,40.729383,-73.980751,2025-03-11T00:00:00.000,New Construction,No,Non Prevailing Wage,,,10.0,,,,,8.0,2.0,,,,,,,10.0,10.0,10,Multifamily Finance Program,,No,Article XI,1000000,2019-03-14,pre__filing_date,2020-10-02,1004060006,1,0,
48996,204 AVENUE A & 535 EAST 12TH STREET PROJECT,2019-12-18T00:00:00.000,972406,535,EAST 12 STREET,Manhattan,10009,1004060047,1091639,MN-03,2,34,MN0303,40.728708,-73.980405,40.728614,-73.979615,2024-03-01T00:00:00.000,New Construction,No,Non Prevailing Wage,,,,,11.0,,1.0,10.0,,,,,,,11.0,,11.0,11,Multifamily Finance Program,,No,Article XI,1091639,2019-03-15,pre__filing_date,2020-09-22,1004060047,1,0,2023-12-06 13:30:02
